,DatumFileBegin,TijdFileBegin,FileDuur,RouteOms,OorzaakGronddetail,nr_accidents,weekday
7980,2016-09-29,0 days 15:57:00,1.0,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
7984,2016-09-27,0 days 08:14:00,9.033,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
7986,2016-09-27,0 days 17:20:00,5.25,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8001,2016-09-29,0 days 16:32:00,3.15,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8009,2016-09-28,0 days 17:29:00,14.617,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
8023,2016-09-27,0 days 16:57:00,24.2,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8029,2016-09-26,0 days 08:57:00,11.95,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
8036,2016-09-29,0 days 15:57:00,10.033,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8040,2016-09-21,0 days 08:25:00,3.983,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
8041,2016-09-26,0 days 18:53:00,5.833,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
8048,2016-09-27,0 days 09:52:00,13.883,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8078,2016-09-29,0 days 15:28:00,71.183,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8081,2016-09-27,0 days 07:52:00,55.133,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8083,2016-09-27,0 days 18:01:00,5.183,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8090,2016-09-27,0 days 17:14:00,6.217,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8098,2016-09-09,0 days 08:47:00,25.517,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8101,2016-09-28,0 days 18:31:00,6.95,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
8108,2016-09-27,0 days 18:00:00,1.2,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8118,2016-09-27,0 days 06:54:00,20.983,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8120,2016-09-27,0 days 16:19:00,8.067,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8123,2016-09-27,0 days 17:04:00,1.167,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8125,2016-09-28,0 days 08:43:00,3.967,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
8126,2016-09-27,0 days 16:48:00,12.15,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8138,2016-09-26,0 days 16:32:00,15.0,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
8140,2016-09-27,0 days 08:22:00,16.15,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8159,2016-09-27,0 days 08:11:00,31.15,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8164,2016-09-27,0 days 16:38:00,4.983,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8171,2016-09-28,0 days 16:21:00,35.133,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
8176,2016-09-26,0 days 08:09:00,27.067,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
8177,2016-09-27,0 days 08:48:00,7.117,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8179,2016-09-27,0 days 09:11:00,5.033,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
